Designator,Val,Footprint,Mid X,Mid Y,Rotation,TB
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,70.828,37.4175,90,T
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.73546,37.78,90,T
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.1405,14.08,0,T
C5,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,72.33546,5.78,0,T
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,72.37296,1.38,0,T
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,72.37296,3.68,0,T
C8,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,68.43546,5.78,0,T
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.53546,39.705,-90,T
R2,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,72.73546,39.58,-90,T
R3,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,75.13546,39.48,-90,T
R7,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.23546,36.78,-90,T
R8,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,61.93546,37.78,-90,T
R10,68,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,85.93546,39.78,-90,T
R12,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.03546,-6.42,90,T
R14,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.33546,-0.72,0,T
U2,SN74LVC1G07DBVR,SOT-753,73.728,35.33,0,T
U4,LM1117-3.3,SOT-89-3,71.428,9.98,-90,T
U5,ESP32-C3-WROOM-02,SMD,58.58546,-5.57,180,T